Metrica,Modelo,Procentaje entrenamiento,Porcentaje validacion,Porcentaje test
accuracy,EfficientNetV2B0,0.9938387096774195,0.9773763440860216,0.9752000000000001
micro_avg_precision,EfficientNetV2B0,0.9938387096774195,0.9773763440860216,0.9752000000000001
micro_avg_recall,EfficientNetV2B0,0.9938387096774195,0.9773763440860216,0.9752000000000001
micro_avg_f1,EfficientNetV2B0,0.9938387096774195,0.9773763440860216,0.9752000000000001
macro_avg_precision,EfficientNetV2B0,0.9940021108433499,0.9780303251212606,0.9758864658279428
macro_avg_recall,EfficientNetV2B0,0.9938387096774195,0.9773763440860216,0.9752000000000001
macro_avg_f1,EfficientNetV2B0,0.9938285244160845,0.9773668818962047,0.975176943473571
accuracy,DenseNet121,0.9517916666666668,0.9315537634408602,0.9268731182795699
micro_avg_precision,DenseNet121,0.9517916666666668,0.9315537634408602,0.9268731182795699
micro_avg_recall,DenseNet121,0.9517916666666668,0.9315537634408602,0.9268731182795699
micro_avg_f1,DenseNet121,0.9517916666666668,0.9315537634408602,0.9268731182795699
macro_avg_precision,DenseNet121,0.956202296967897,0.937466639317393,0.9332680342083387
macro_avg_recall,DenseNet121,0.9517916666666668,0.9315537634408602,0.9268731182795699
macro_avg_f1,DenseNet121,0.9503054479522138,0.9300376966632338,0.9254074101174015
accuracy,ResNet101V2,0.81822311827957,0.7939032258064517,0.7919182795698926
micro_avg_precision,ResNet101V2,0.81822311827957,0.7939032258064517,0.7919182795698926
micro_avg_recall,ResNet101V2,0.81822311827957,0.7939032258064517,0.7919182795698926
micro_avg_f1,ResNet101V2,0.81822311827957,0.7939032258064517,0.7919182795698926
macro_avg_precision,ResNet101V2,0.8503637904036417,0.8277455958529821,0.8257607785060699
macro_avg_recall,ResNet101V2,0.81822311827957,0.7939032258064515,0.7919182795698926
macro_avg_f1,ResNet101V2,0.8131374739635658,0.7881369930524386,0.7864021358375066
