Metrica,Modelo,Stat,p_value,hipotesis
accuracy,EfficientNetV2B0,192.39172220095563,9.556227379894673e-44,h1
micro_avg_precision,EfficientNetV2B0,192.39172220095563,9.556227379894673e-44,h1
micro_avg_recall,EfficientNetV2B0,192.39172220095563,9.556227379894673e-44,h1
micro_avg_f1,EfficientNetV2B0,192.39172220095563,9.556227379894673e-44,h1
macro_avg_precision,EfficientNetV2B0,194.45537113244617,3.387485006724896e-44,h1
macro_avg_recall,EfficientNetV2B0,192.38125781741059,9.606617039910067e-44,h1
macro_avg_f1,EfficientNetV2B0,192.23521100648256,1.033825830018109e-43,h1
accuracy,DenseNet121,75.8798790918449,3.0145622278720615e-18,h1
micro_avg_precision,DenseNet121,75.8798790918449,3.0145622278720615e-18,h1
micro_avg_recall,DenseNet121,75.8798790918449,3.0145622278720615e-18,h1
micro_avg_f1,DenseNet121,75.8798790918449,3.0145622278720615e-18,h1
macro_avg_precision,DenseNet121,82.77238227333939,9.206738480653115e-20,h1
macro_avg_recall,DenseNet121,75.8682593436895,3.0323538657160933e-18,h1
macro_avg_f1,DenseNet121,75.29362451438104,4.056674453843189e-18,h1
accuracy,ResNet101V2,9.28946084650949,0.002304759843806408,h1
micro_avg_precision,ResNet101V2,9.28946084650949,0.002304759843806408,h1
micro_avg_recall,ResNet101V2,9.28946084650949,0.002304759843806408,h1
micro_avg_f1,ResNet101V2,9.28946084650949,0.002304759843806408,h1
macro_avg_precision,ResNet101V2,10.736099922708945,0.001050655332915167,h1
macro_avg_recall,ResNet101V2,9.285579984575005,0.002309647819294049,h1
macro_avg_f1,ResNet101V2,8.910943249763363,0.0028346681127432456,h1
