Metrica,Modelo,Stat,p_value,hipotesis
accuracy,EfficientNetV2B0,139.3743152371405,3.6478641420148096e-32,h1
micro_avg_precision,EfficientNetV2B0,139.3743152371405,3.6478641420148096e-32,h1
micro_avg_recall,EfficientNetV2B0,139.3743152371405,3.6478641420148096e-32,h1
micro_avg_f1,EfficientNetV2B0,139.3743152371405,3.6478641420148096e-32,h1
macro_avg_precision,EfficientNetV2B0,146.00015163732837,1.298099487037224e-33,h1
macro_avg_recall,EfficientNetV2B0,139.37366959450065,3.649050275286854e-32,h1
macro_avg_f1,EfficientNetV2B0,139.2504976394498,3.8825371894357115e-32,h1
accuracy,DenseNet121,30.300097256872007,3.7010734590846874e-08,h1
micro_avg_precision,DenseNet121,30.300097256872007,3.7010734590846874e-08,h1
micro_avg_recall,DenseNet121,30.300097256872007,3.7010734590846874e-08,h1
micro_avg_f1,DenseNet121,30.300097256872007,3.7010734590846874e-08,h1
macro_avg_precision,DenseNet121,43.653213192313615,3.920329263636961e-11,h1
macro_avg_recall,DenseNet121,30.299962998190708,3.7013296495544275e-08,h1
macro_avg_f1,DenseNet121,29.01599726972495,7.178305965679846e-08,h1
accuracy,ResNet101V2,20.09821291936179,7.3565382685937905e-06,h1
micro_avg_precision,ResNet101V2,20.09821291936179,7.3565382685937905e-06,h1
micro_avg_recall,ResNet101V2,20.09821291936179,7.3565382685937905e-06,h1
micro_avg_f1,ResNet101V2,20.09821291936179,7.3565382685937905e-06,h1
macro_avg_precision,ResNet101V2,28.13533905932661,1.1312133454734943e-07,h1
macro_avg_recall,ResNet101V2,20.09813600859256,7.356834107836364e-06,h1
macro_avg_f1,ResNet101V2,19.735921250305182,8.891428295978478e-06,h1
