Metrica,Modelo,Tipo,Stat,p_value,hipotesis
accuracy,EfficientNetV2B0,train,0.8249984642376258,6.77213337668239e-117,h1
micro_avg_precision,EfficientNetV2B0,train,0.8249984642376258,6.77213337668239e-117,h1
micro_avg_recall,EfficientNetV2B0,train,0.8249984642376258,6.77213337668239e-117,h1
micro_avg_f1,EfficientNetV2B0,train,0.8249984642376258,6.77213337668239e-117,h1
macro_avg_precision,EfficientNetV2B0,train,0.8256500174890549,3.677115856577793e-117,h1
macro_avg_recall,EfficientNetV2B0,train,0.8249984642376258,6.77213337668239e-117,h1
macro_avg_f1,EfficientNetV2B0,train,0.8249614189196222,7.01100426297234e-117,h1
accuracy,EfficientNetV2B0,val,0.8197257969729704,8.85676962164646e-115,h1
micro_avg_precision,EfficientNetV2B0,val,0.8197257969729704,8.85676962164646e-115,h1
micro_avg_recall,EfficientNetV2B0,val,0.8197257969729704,8.85676962164646e-115,h1
micro_avg_f1,EfficientNetV2B0,val,0.8197257969729704,8.85676962164646e-115,h1
macro_avg_precision,EfficientNetV2B0,val,0.8211165509513553,2.4776912535181226e-115,h1
macro_avg_recall,EfficientNetV2B0,val,0.8197257969729704,8.85676962164646e-115,h1
macro_avg_f1,EfficientNetV2B0,val,0.819522520208914,1.066203647584176e-114,h1
accuracy,EfficientNetV2B0,test,0.8204520671415031,4.55843385710298e-115,h1
micro_avg_precision,EfficientNetV2B0,test,0.8204520671415031,4.55843385710298e-115,h1
micro_avg_recall,EfficientNetV2B0,test,0.8204520671415031,4.55843385710298e-115,h1
micro_avg_f1,EfficientNetV2B0,test,0.8204520671415031,4.55843385710298e-115,h1
macro_avg_precision,EfficientNetV2B0,test,0.8211808466224007,2.3355265897556386e-115,h1
macro_avg_recall,EfficientNetV2B0,test,0.8204520671415031,4.55843385710298e-115,h1
macro_avg_f1,EfficientNetV2B0,test,0.8203559920251425,4.977716994167192e-115,h1
accuracy,DenseNet121,train,0.7618857621092724,2.228125500968779e-94,h1
micro_avg_precision,DenseNet121,train,0.7618857621092724,2.228125500968779e-94,h1
micro_avg_recall,DenseNet121,train,0.7618857621092724,2.228125500968779e-94,h1
micro_avg_f1,DenseNet121,train,0.7618857621092724,2.228125500968779e-94,h1
macro_avg_precision,DenseNet121,train,0.7700263040899864,5.494010544571118e-97,h1
macro_avg_recall,DenseNet121,train,0.7618857621092724,2.228125500968779e-94,h1
macro_avg_f1,DenseNet121,train,0.7586808505772532,2.263482867313469e-93,h1
accuracy,DenseNet121,val,0.7585322927184815,2.518729558320262e-93,h1
micro_avg_precision,DenseNet121,val,0.7585322927184815,2.518729558320262e-93,h1
micro_avg_recall,DenseNet121,val,0.7585322927184815,2.518729558320262e-93,h1
micro_avg_f1,DenseNet121,val,0.7585322927184815,2.518729558320262e-93,h1
macro_avg_precision,DenseNet121,val,0.7680392333714793,2.417490318836601e-96,h1
macro_avg_recall,DenseNet121,val,0.7585322927184815,2.518729558320262e-93,h1
macro_avg_f1,DenseNet121,val,0.7576025148359095,4.910009785475215e-93,h1
accuracy,DenseNet121,test,0.756320543600047,1.228304757728223e-92,h1
micro_avg_precision,DenseNet121,test,0.756320543600047,1.228304757728223e-92,h1
micro_avg_recall,DenseNet121,test,0.756320543600047,1.228304757728223e-92,h1
micro_avg_f1,DenseNet121,test,0.756320543600047,1.228304757728223e-92,h1
macro_avg_precision,DenseNet121,test,0.7691089725263289,1.090211018400699e-96,h1
macro_avg_recall,DenseNet121,test,0.756320543600047,1.228304757728223e-92,h1
macro_avg_f1,DenseNet121,test,0.7550794897691017,2.972951443882843e-92,h1
accuracy,ResNet101V2,train,0.629595984375636,5.275928070475462e-60,h1
micro_avg_precision,ResNet101V2,train,0.629595984375636,5.275928070475462e-60,h1
micro_avg_recall,ResNet101V2,train,0.629595984375636,5.275928070475462e-60,h1
micro_avg_f1,ResNet101V2,train,0.629595984375636,5.275928070475462e-60,h1
macro_avg_precision,ResNet101V2,train,0.676696180605905,8.80384757922177e-71,h1
macro_avg_recall,ResNet101V2,train,0.6295959843756359,5.275928070475752e-60,h1
macro_avg_f1,ResNet101V2,train,0.6217360501840712,2.4713364915449155e-58,h1
accuracy,ResNet101V2,val,0.6242070834533947,7.437280974616163e-59,h1
micro_avg_precision,ResNet101V2,val,0.6242070834533947,7.437280974616163e-59,h1
micro_avg_recall,ResNet101V2,val,0.6242070834533947,7.437280974616163e-59,h1
micro_avg_f1,ResNet101V2,val,0.6242070834533947,7.437280974616163e-59,h1
macro_avg_precision,ResNet101V2,val,0.668937100296376,6.546035685537983e-69,h1
macro_avg_recall,ResNet101V2,val,0.6242070834533947,7.437280974616163e-59,h1
macro_avg_f1,ResNet101V2,val,0.6151726792333762,5.7799391426243e-57,h1
accuracy,ResNet101V2,test,0.6233668910220558,1.1197399045474762e-58,h1
micro_avg_precision,ResNet101V2,test,0.6233668910220558,1.1197399045474762e-58,h1
micro_avg_recall,ResNet101V2,test,0.6233668910220558,1.1197399045474762e-58,h1
micro_avg_f1,ResNet101V2,test,0.6233668910220558,1.1197399045474762e-58,h1
macro_avg_precision,ResNet101V2,test,0.6669826237200398,1.910265533514215e-68,h1
macro_avg_recall,ResNet101V2,test,0.6233668910220558,1.1197399045474762e-58,h1
macro_avg_f1,ResNet101V2,test,0.6135305945758021,1.2612049777848862e-56,h1
