Metrica,Modelo,Tipo,Stat,p_value,hipotesis
accuracy,EfficientNetV2B0,train,0.775723872904957,7.402859649324474e-99,h1
micro_avg_precision,EfficientNetV2B0,train,0.775723872904957,7.402859649324474e-99,h1
micro_avg_recall,EfficientNetV2B0,train,0.775723872904957,7.402859649324474e-99,h1
micro_avg_f1,EfficientNetV2B0,train,0.775723872904957,7.402859649324474e-99,h1
macro_avg_precision,EfficientNetV2B0,train,0.7815761076595253,8.080632982632393e-101,h1
macro_avg_recall,EfficientNetV2B0,train,0.775723872904957,7.402859649324474e-99,h1
macro_avg_f1,EfficientNetV2B0,train,0.7743634829021799,2.0868667246386027e-98,h1
accuracy,EfficientNetV2B0,val,0.7666939108371889,6.553544603759788e-96,h1
micro_avg_precision,EfficientNetV2B0,val,0.7666939108371889,6.553544603759788e-96,h1
micro_avg_recall,EfficientNetV2B0,val,0.7666939108371889,6.553544603759788e-96,h1
micro_avg_f1,EfficientNetV2B0,val,0.7666939108371889,6.553544603759788e-96,h1
macro_avg_precision,EfficientNetV2B0,val,0.7769501377633471,2.8958316552308504e-99,h1
macro_avg_recall,EfficientNetV2B0,val,0.7666939108371889,6.553544603759788e-96,h1
macro_avg_f1,EfficientNetV2B0,val,0.7655684396714837,1.503998726883723e-95,h1
accuracy,EfficientNetV2B0,test,0.7652586231010301,1.8893462495149455e-95,h1
micro_avg_precision,EfficientNetV2B0,test,0.7652586231010301,1.8893462495149455e-95,h1
micro_avg_recall,EfficientNetV2B0,test,0.7652586231010301,1.8893462495149455e-95,h1
micro_avg_f1,EfficientNetV2B0,test,0.7652586231010301,1.8893462495149455e-95,h1
macro_avg_precision,EfficientNetV2B0,test,0.774477320716851,1.9138830524286712e-98,h1
macro_avg_recall,EfficientNetV2B0,test,0.7652586231010301,1.8893462495149455e-95,h1
macro_avg_f1,EfficientNetV2B0,test,0.7637825094867279,5.5826471395375735e-95,h1
accuracy,DenseNet121,train,0.7393315635114492,1.623470493321838e-87,h1
micro_avg_precision,DenseNet121,train,0.7393315635114492,1.623470493321838e-87,h1
micro_avg_recall,DenseNet121,train,0.7393315635114492,1.623470493321838e-87,h1
micro_avg_f1,DenseNet121,train,0.7393315635114492,1.623470493321838e-87,h1
macro_avg_precision,DenseNet121,train,0.7796830837297773,3.5213382544786843e-100,h1
macro_avg_recall,DenseNet121,train,0.7393315635114492,1.623470493321838e-87,h1
macro_avg_f1,DenseNet121,train,0.7315565936603153,2.9006501812365334e-85,h1
accuracy,DenseNet121,val,0.7329202865473722,1.1788496951833442e-85,h1
micro_avg_precision,DenseNet121,val,0.7329202865473722,1.1788496951833442e-85,h1
micro_avg_recall,DenseNet121,val,0.7329202865473722,1.1788496951833442e-85,h1
micro_avg_f1,DenseNet121,val,0.7329202865473722,1.1788496951833442e-85,h1
macro_avg_precision,DenseNet121,val,0.7767573905674635,3.357109471238389e-99,h1
macro_avg_recall,DenseNet121,val,0.7329202865473722,1.1788496951833442e-85,h1
macro_avg_f1,DenseNet121,val,0.7260969635356622,1.0270437142064985e-83,h1
accuracy,DenseNet121,test,0.7309131559665306,4.430213231340199e-85,h1
micro_avg_precision,DenseNet121,test,0.7309131559665306,4.430213231340199e-85,h1
micro_avg_recall,DenseNet121,test,0.7309131559665306,4.430213231340199e-85,h1
micro_avg_f1,DenseNet121,test,0.7309131559665306,4.430213231340199e-85,h1
macro_avg_precision,DenseNet121,test,0.7793814676698879,4.447836001636544e-100,h1
macro_avg_recall,DenseNet121,test,0.7309131559665306,4.430213231340199e-85,h1
macro_avg_f1,DenseNet121,test,0.7266593790158141,7.13202408967424e-84,h1
accuracy,ResNet101V2,train,0.6603970674705417,6.763302194512198e-67,h1
micro_avg_precision,ResNet101V2,train,0.6603970674705417,6.763302194512198e-67,h1
micro_avg_recall,ResNet101V2,train,0.6603970674705417,6.763302194512198e-67,h1
micro_avg_f1,ResNet101V2,train,0.6603970674705417,6.763302194512198e-67,h1
macro_avg_precision,ResNet101V2,train,0.7092628456560612,4.260953212305154e-79,h1
macro_avg_recall,ResNet101V2,train,0.6603970674705415,6.763302194513005e-67,h1
macro_avg_f1,ResNet101V2,train,0.6549100659521427,1.2585277065673587e-65,h1
accuracy,ResNet101V2,val,0.6517099604601897,6.788170690624216e-65,h1
micro_avg_precision,ResNet101V2,val,0.6517099604601897,6.788170690624216e-65,h1
micro_avg_recall,ResNet101V2,val,0.6517099604601897,6.788170690624216e-65,h1
micro_avg_f1,ResNet101V2,val,0.6517099604601897,6.788170690624216e-65,h1
macro_avg_precision,ResNet101V2,val,0.7053903363395927,4.565657502713979e-78,h1
macro_avg_recall,ResNet101V2,val,0.6517099604601897,6.788170690624216e-65,h1
macro_avg_f1,ResNet101V2,val,0.6427424368505439,7.073044752869822e-63,h1
accuracy,ResNet101V2,test,0.6567700714798967,4.694175366912267e-66,h1
micro_avg_precision,ResNet101V2,test,0.6567700714798967,4.694175366912267e-66,h1
micro_avg_recall,ResNet101V2,test,0.6567700714798967,4.694175366912267e-66,h1
micro_avg_f1,ResNet101V2,test,0.6567700714798967,4.694175366912267e-66,h1
macro_avg_precision,ResNet101V2,test,0.7041943650882303,9.44611122228559e-78,h1
macro_avg_recall,ResNet101V2,test,0.6567700714798967,4.694175366912267e-66,h1
macro_avg_f1,ResNet101V2,test,0.6526116976241532,4.228190312089724e-65,h1
