Metrica,Data_Type,W,pval,normal
accuracy,train,0.7660853094362221,1.9138059336092488e-14,False
micro_avg_precision,train,0.7660853094362221,1.9138059336092488e-14,False
micro_avg_recall,train,0.7660853094362221,1.9138059336092488e-14,False
micro_avg_f1,train,0.7660853094362221,1.9138059336092488e-14,False
macro_avg_precision,train,0.7529319428870161,7.301832952357893e-15,False
macro_avg_recall,train,0.7660853094362219,1.9138059336092e-14,False
macro_avg_f1,train,0.7482907805624233,5.242894144656797e-15,False
accuracy,val,0.7654959937320047,1.8314533222882287e-14,False
micro_avg_precision,val,0.7654959937320047,1.8314533222882287e-14,False
micro_avg_recall,val,0.7654959937320047,1.8314533222882287e-14,False
micro_avg_f1,val,0.7654959937320047,1.8314533222882287e-14,False
macro_avg_precision,val,0.7459456089148341,4.442208937348342e-15,False
macro_avg_recall,val,0.765495993732005,1.8314533222882685e-14,False
macro_avg_f1,val,0.747542234974254,4.9721778514678326e-15,False
accuracy,test,0.7649139272625652,1.7537278709771498e-14,False
micro_avg_precision,test,0.7649139272625652,1.7537278709771498e-14,False
micro_avg_recall,test,0.7649139272625652,1.7537278709771498e-14,False
micro_avg_f1,test,0.7649139272625652,1.7537278709771498e-14,False
macro_avg_precision,test,0.7214592866756795,8.379245924691458e-16,False
macro_avg_recall,test,0.7649139272625652,1.7537278709771498e-14,False
macro_avg_f1,test,0.7465319952497258,4.629671070909279e-15,False
