Metrica,Data_Type,W,pval,normal
accuracy,train,0.39240110160105535,1.0747170739159255e-22,False
micro_avg_precision,train,0.39240110160105535,1.0747170739159255e-22,False
micro_avg_recall,train,0.39240110160105535,1.0747170739159255e-22,False
micro_avg_f1,train,0.39240110160105535,1.0747170739159255e-22,False
macro_avg_precision,train,0.2956142789910181,3.743713067203268e-24,False
macro_avg_recall,train,0.39240110160105535,1.0747170739159255e-22,False
macro_avg_f1,train,0.36059915132004894,3.41624530329811e-23,False
accuracy,val,0.421676500850646,3.21802887816016e-22,False
micro_avg_precision,val,0.421676500850646,3.21802887816016e-22,False
micro_avg_recall,val,0.421676500850646,3.21802887816016e-22,False
micro_avg_f1,val,0.421676500850646,3.21802887816016e-22,False
macro_avg_precision,val,0.3084185691707497,5.713362966558917e-24,False
macro_avg_recall,val,0.42167650085064656,3.2180288781602065e-22,False
macro_avg_f1,val,0.38592916308865277,8.47998996503444e-23,False
accuracy,test,0.42712165319502304,3.9647585764892627e-22,False
micro_avg_precision,test,0.42712165319502304,3.9647585764892627e-22,False
micro_avg_recall,test,0.42712165319502304,3.9647585764892627e-22,False
micro_avg_f1,test,0.42712165319502304,3.9647585764892627e-22,False
macro_avg_precision,test,0.30983568868612177,5.9892545452402326e-24,False
macro_avg_recall,test,0.4271216531950224,3.9647585764891202e-22,False
macro_avg_f1,test,0.38945988132292453,9.647764746583826e-23,False
