Metrica,Data_Type,W,pval,normal
accuracy,train,0.7537355405426385,7.736355752401362e-15,False
micro_avg_precision,train,0.7537355405426385,7.736355752401362e-15,False
micro_avg_recall,train,0.7537355405426385,7.736355752401362e-15,False
micro_avg_f1,train,0.7537355405426385,7.736355752401362e-15,False
macro_avg_precision,train,0.8913221270170687,2.8404282345608618e-09,False
macro_avg_recall,train,0.7537355405426389,7.736355752401588e-15,False
macro_avg_f1,train,0.7427988447544418,3.562626070090783e-15,False
accuracy,val,0.7701977439910435,2.6070971509251036e-14,False
micro_avg_precision,val,0.7701977439910435,2.6070971509251036e-14,False
micro_avg_recall,val,0.7701977439910435,2.6070971509251036e-14,False
micro_avg_f1,val,0.7701977439910435,2.6070971509251036e-14,False
macro_avg_precision,val,0.9125395260995383,4.839742264370378e-08,False
macro_avg_recall,val,0.770197743991043,2.6070971509250285e-14,False
macro_avg_f1,val,0.7542505745436769,8.028916659628825e-15,False
accuracy,test,0.7738285858202372,3.43649318185139e-14,False
micro_avg_precision,test,0.7738285858202372,3.43649318185139e-14,False
micro_avg_recall,test,0.7738285858202372,3.43649318185139e-14,False
micro_avg_f1,test,0.7738285858202372,3.43649318185139e-14,False
macro_avg_precision,test,0.9157987000240106,7.755087445818767e-08,False
macro_avg_recall,test,0.7738285858202376,3.436493181851478e-14,False
macro_avg_f1,test,0.7608986027052009,1.3029700902765004e-14,False
