Metrica,Data_Type,W,pval,normal
accuracy,train,0.61131782549767,1.392027662867821e-18,False
micro_avg_precision,train,0.61131782549767,1.392027662867821e-18,False
micro_avg_recall,train,0.61131782549767,1.392027662867821e-18,False
micro_avg_f1,train,0.61131782549767,1.392027662867821e-18,False
macro_avg_precision,train,0.6172625513590155,1.8951165497507376e-18,False
macro_avg_recall,train,0.6113178254976702,1.392027662867851e-18,False
macro_avg_f1,train,0.6087167132287141,1.2175920614708342e-18,False
accuracy,val,0.7729771242016658,3.220050830389272e-14,False
micro_avg_precision,val,0.7729771242016658,3.220050830389272e-14,False
micro_avg_recall,val,0.7729771242016658,3.220050830389272e-14,False
micro_avg_f1,val,0.7729771242016658,3.220050830389272e-14,False
macro_avg_precision,val,0.7799488131239829,5.5136168805415954e-14,False
macro_avg_recall,val,0.7729771242016654,3.2200508303891663e-14,False
macro_avg_f1,val,0.7727434318170969,3.163163006697863e-14,False
accuracy,test,0.84143099410352,1.1636770127414001e-11,False
micro_avg_precision,test,0.84143099410352,1.1636770127414001e-11,False
micro_avg_recall,test,0.84143099410352,1.1636770127414001e-11,False
micro_avg_f1,test,0.84143099410352,1.1636770127414001e-11,False
macro_avg_precision,test,0.8482594390205094,2.291409267395469e-11,False
macro_avg_recall,test,0.8414309941035195,1.1636770127413413e-11,False
macro_avg_f1,test,0.8434885148834514,1.4242592574181111e-11,False
