Metrica,Data_Type,W,pval,normal
accuracy,train,0.4069829100482476,1.84615811033774e-22,False
micro_avg_precision,train,0.4069829100482476,1.84615811033774e-22,False
micro_avg_recall,train,0.4069829100482476,1.84615811033774e-22,False
micro_avg_f1,train,0.4069829100482476,1.84615811033774e-22,False
macro_avg_precision,train,0.4029551245678473,1.5882653497777868e-22,False
macro_avg_recall,train,0.4069829100482484,1.8461581103378064e-22,False
macro_avg_f1,train,0.37261932984256185,5.2406297826793424e-23,False
accuracy,val,0.4360331167441732,5.597234801368925e-22,False
micro_avg_precision,val,0.4360331167441732,5.597234801368925e-22,False
micro_avg_recall,val,0.4360331167441732,5.597234801368925e-22,False
micro_avg_f1,val,0.4360331167441732,5.597234801368925e-22,False
macro_avg_precision,val,0.39657947902914414,1.2536523989554405e-22,False
macro_avg_recall,val,0.4360331167441731,5.597234801368925e-22,False
macro_avg_f1,val,0.3966180113476008,1.255438895876951e-22,False
accuracy,test,0.4122077751779376,2.2467103085009977e-22,False
micro_avg_precision,test,0.4122077751779376,2.2467103085009977e-22,False
micro_avg_recall,test,0.4122077751779376,2.2467103085009977e-22,False
micro_avg_f1,test,0.4122077751779376,2.2467103085009977e-22,False
macro_avg_precision,test,0.3804484725436047,6.948790279297019e-23,False
macro_avg_recall,test,0.41220777517793716,2.24671030850095e-22,False
macro_avg_f1,test,0.3720618930820683,5.136943338480657e-23,False
