Metrica,Modelo,media_train,desv_train,med_train,media_val,desv_val,med_val,media_test,desv_test,med_test
accuracy,EfficientNetV2B0,0.9938387096774195,0.008043349740988403,0.9964583333333332,0.9773763440860216,0.010653601283778937,0.9791666666666666,0.9752000000000001,0.01042402597177871,0.9773333333333334
micro_avg_precision,EfficientNetV2B0,0.9938387096774195,0.008043349740988403,0.9964583333333332,0.9773763440860216,0.010653601283778937,0.9791666666666666,0.9752000000000001,0.01042402597177871,0.9773333333333334
micro_avg_recall,EfficientNetV2B0,0.9938387096774195,0.008043349740988403,0.9964583333333332,0.9773763440860216,0.010653601283778937,0.9791666666666666,0.9752000000000001,0.01042402597177871,0.9773333333333334
micro_avg_f1,EfficientNetV2B0,0.9938387096774195,0.008043349740988403,0.9964583333333332,0.9773763440860216,0.010653601283778937,0.9791666666666666,0.9752000000000001,0.01042402597177871,0.9773333333333334
macro_avg_precision,EfficientNetV2B0,0.9940021108433499,0.00767258838144721,0.9964745317687064,0.9780303251212606,0.009870595012515092,0.9795934129361572,0.9758864658279428,0.009681494497805629,0.978047136696059
macro_avg_recall,EfficientNetV2B0,0.9938387096774195,0.008043349740988399,0.9964583333333332,0.9773763440860216,0.010653601283778937,0.9791666666666669,0.9752000000000001,0.010424025971778734,0.9773333333333334
macro_avg_f1,EfficientNetV2B0,0.9938285244160845,0.008092188004028163,0.996458142134715,0.9773668818962047,0.010679550840453961,0.9791861362820072,0.975176943473571,0.010419174976173421,0.9773216267009784
accuracy,DenseNet121,0.9517916666666668,0.08040832014308173,0.9722916666666668,0.9315537634408602,0.07857021137335651,0.95,0.9268731182795699,0.07766474619040002,0.9446666666666668
micro_avg_precision,DenseNet121,0.9517916666666668,0.08040832014308173,0.9722916666666668,0.9315537634408602,0.07857021137335651,0.95,0.9268731182795699,0.07766474619040002,0.9446666666666668
micro_avg_recall,DenseNet121,0.9517916666666668,0.08040832014308173,0.9722916666666668,0.9315537634408602,0.07857021137335651,0.95,0.9268731182795699,0.07766474619040002,0.9446666666666668
micro_avg_f1,DenseNet121,0.9517916666666668,0.08040832014308173,0.9722916666666668,0.9315537634408602,0.07857021137335651,0.95,0.9268731182795699,0.07766474619040002,0.9446666666666668
macro_avg_precision,DenseNet121,0.956202296967897,0.0831947536221084,0.9733347825797956,0.937466639317393,0.08145765451092227,0.9524650324731664,0.9332680342083387,0.08080377002758629,0.9476884483325956
macro_avg_recall,DenseNet121,0.9517916666666668,0.08040832014308173,0.9722916666666668,0.9315537634408602,0.07857021137335653,0.95,0.9268731182795699,0.07766474619040001,0.9446666666666664
macro_avg_f1,DenseNet121,0.9503054479522138,0.08996003770637424,0.9723793883895572,0.9300376966632338,0.08805516101469119,0.9500393370288844,0.9254074101174015,0.08717133775065086,0.9442948590275096
accuracy,ResNet101V2,0.81822311827957,0.16554578837268333,0.8779166666666667,0.7939032258064517,0.1586733008532564,0.85,0.7919182795698926,0.15903853137421564,0.8446666666666667
micro_avg_precision,ResNet101V2,0.81822311827957,0.16554578837268333,0.8779166666666667,0.7939032258064517,0.1586733008532564,0.85,0.7919182795698926,0.15903853137421564,0.8446666666666667
micro_avg_recall,ResNet101V2,0.81822311827957,0.16554578837268333,0.8779166666666667,0.7939032258064517,0.1586733008532564,0.85,0.7919182795698926,0.15903853137421564,0.8446666666666667
micro_avg_f1,ResNet101V2,0.81822311827957,0.16554578837268333,0.8779166666666667,0.7939032258064517,0.1586733008532564,0.85,0.7919182795698926,0.15903853137421564,0.8446666666666667
macro_avg_precision,ResNet101V2,0.8503637904036417,0.12951114472804112,0.8955224968776234,0.8277455958529821,0.12424155735882886,0.8682475113776276,0.8257607785060699,0.12958898912940717,0.8621456928859083
macro_avg_recall,ResNet101V2,0.81822311827957,0.16554578837268333,0.8779166666666667,0.7939032258064515,0.1586733008532564,0.85,0.7919182795698926,0.15903853137421564,0.8446666666666667
macro_avg_f1,ResNet101V2,0.8131374739635658,0.17765957385189612,0.8783078214932292,0.7881369930524386,0.17148553720572093,0.8491988631251809,0.7864021358375066,0.17172520153552756,0.8458865647082773
