Modelo,metrica,mediana entrenamiento,iqr entrenamiento,mediana validacion,iqr validacion,mediana test,iqr test
4,accuracy,0.9608333333333332,0.031041666666666523,0.9125,0.029583333333333406,0.912,0.02533333333333332
5,accuracy,0.904375,0.053333333333333344,0.8775,0.057499999999999885,0.876,0.056666666666666754
6,accuracy,0.8858333333333334,0.10239583333333324,0.8508333333333333,0.09375,0.8526666666666667,0.10133333333333328
4,micro_avg_precision,0.9608333333333332,0.031041666666666523,0.9125,0.029583333333333406,0.912,0.02533333333333332
5,micro_avg_precision,0.904375,0.053333333333333344,0.8775,0.057499999999999885,0.876,0.056666666666666754
6,micro_avg_precision,0.8858333333333334,0.10239583333333324,0.8508333333333333,0.09375,0.8526666666666667,0.10133333333333328
4,micro_avg_recall,0.9608333333333332,0.031041666666666523,0.9125,0.029583333333333406,0.912,0.02533333333333332
5,micro_avg_recall,0.904375,0.053333333333333344,0.8775,0.057499999999999885,0.876,0.056666666666666754
6,micro_avg_recall,0.8858333333333334,0.10239583333333324,0.8508333333333333,0.09375,0.8526666666666667,0.10133333333333328
4,micro_avg_f1,0.9608333333333332,0.031041666666666523,0.9125,0.029583333333333406,0.912,0.02533333333333332
5,micro_avg_f1,0.904375,0.053333333333333344,0.8775,0.057499999999999885,0.876,0.056666666666666754
6,micro_avg_f1,0.8858333333333334,0.10239583333333324,0.8508333333333333,0.09375,0.8526666666666667,0.10133333333333328
4,macro_avg_precision,0.962426124226606,0.027789305884353577,0.9158588196987264,0.02823989498930468,0.9159371310539716,0.023890826277178645
5,macro_avg_precision,0.9126194116428687,0.040327558326963886,0.8918131406468823,0.04045119143921705,0.8890763194539316,0.03863391668867289
6,macro_avg_precision,0.8963958642515344,0.07198384453538953,0.8672083626253004,0.057444728314220206,0.8655904768270741,0.06320729881439457
4,macro_avg_recall,0.9608333333333334,0.031041666666666745,0.9125,0.029583333333333406,0.912,0.02533333333333343
5,macro_avg_recall,0.904375,0.05333333333333323,0.8775000000000001,0.057499999999999885,0.8760000000000001,0.05666666666666653
6,macro_avg_recall,0.8858333333333333,0.10239583333333346,0.8508333333333333,0.09375,0.8526666666666667,0.10133333333333328
4,macro_avg_f1,0.9608438986455669,0.03057032878215027,0.9130397042619772,0.02915758049966244,0.9116253394782096,0.025598914512780402
5,macro_avg_f1,0.9042950644519476,0.05408130606670114,0.8771227173153834,0.05759562529343143,0.8755920993067419,0.0576260307288996
6,macro_avg_f1,0.8857942782309515,0.11043114222376438,0.8495953687612892,0.10059910532828598,0.8486158687453829,0.10040221118969228
